13,2021-04-04,이효신,김신석,20000,0,34000
38,2021-04-04,이효신,김신석,0,20000,4000
32,2021-04-28,ATM,이수찬,10000,0,39000
7,2021-05-07,유신제,ATM,0,20000,10000
15,2021-05-16,ATM,최돈진,1000,0,12000
14,2021-05-19,정효찬,김형민,2000,0,21000
36,2021-05-19,정효찬,김형민,0,2000,24000
41,2021-05-28,ATM,정현현,19000,0,36000
47,2021-06-02,ATM,김민신,9000,0,18000
41,2021-06-05,정현현,ATM,0,20000,16000
4,2021-06-11,ATM,최돈수,16000,0,43000
49,2021-06-11,이신현,ATM,0,12000,9000
24,2021-06-20,정효수,ATM,0,8000,26000
11,2021-06-20,박석나,ATM,0,1000,36000
25,2021-06-29,ATM,이석연,16000,0,18000
41,2021-07-07,정현현,ATM,0,16000,0
41,2021-07-11,ATM,정현현,11000,0,11000
17,2021-07-11,김신석,김형정,4000,0,20000
13,2021-07-11,김신석,김형정,0,4000,30000
36,2021-07-18,ATM,정효찬,15000,0,39000
47,2021-07-26,ATM,김민신,6000,0,24000
49,2021-08-09,유신제,이신현,8000,0,17000
7,2021-08-09,유신제,이신현,0,8000,2000
29,2021-08-11,박연형,ATM,0,4000,12000
10,2021-08-13,손현연,ATM,0,19000,5000
47,2021-08-22,ATM,김민신,14000,0,38000
12,2021-08-28,유나연,최제정,20000,0,43000
44,2021-08-28,유나연,최제정,0,20000,9000
50,2021-08-29,ATM,김돈나,8000,0,26000
9,2021-09-14,김형민,최수현,3000,0,22000
14,2021-09-14,김형민,최수현,0,3000,18000
9,2021-09-15,정돈연,최수현,16000,0,38000
43,2021-09-15,정돈연,최수현,0,16000,25000
46,2021-09-15,유현신,ATM,0,9000,18000
14,2021-09-16,ATM,김형민,16000,0,34000
40,2021-09-17,손효나,ATM,0,10000,17000
34,2021-09-26,ATM,정수연,6000,0,14000
38,2021-10-11,ATM,이효신,3000,0,7000
48,2021-10-13,이정정,손진연,1000,0,10000
42,2021-10-13,이정정,손진연,0,1000,1000
30,2021-10-17,유나연,손찬진,3000,0,37000
44,2021-10-17,유나연,손찬진,0,3000,6000
3,2021-10-17,ATM,손돈효,2000,0,47000
11,2021-10-24,정수연,박석나,11000,0,47000
34,2021-10-24,정수연,박석나,0,11000,3000
28,2021-11-01,ATM,손현찬,19000,0,26000
3,2021-11-14,손현찬,손돈효,2000,0,49000
35,2021-11-14,손현찬,손돈효,0,2000,8000
8,2021-11-15,정진나,최형정,18000,0,32000
6,2021-11-15,정진나,최형정,0,18000,14000
6,2021-11-15,정진나,ATM,0,4000,10000
27,2021-11-17,유돈신,ATM,0,6000,25000
17,2021-11-20,정효찬,김형정,4000,0,24000
36,2021-11-20,정효찬,김형정,0,4000,35000
33,2021-11-30,ATM,손민연,2000,0,4000
29,2021-12-02,ATM,박연형,5000,0,17000
31,2021-12-03,ATM,김현현,14000,0,21000
8,2021-12-03,ATM,최형정,5000,0,37000
13,2021-12-06,손돈효,김신석,3000,0,33000
3,2021-12-06,손돈효,김신석,0,3000,46000
25,2021-12-12,이석연,ATM,0,2000,16000
29,2021-12-18,ATM,박연형,1000,0,18000
11,2021-12-31,ATM,박석나,2000,0,49000
